,,,,2020,,,,,,2016,,,,,,2012,,,,,,2008,,,,
District,Incumbent,Party,,Biden,Trump,Total,Biden%,Trump%,,Clinton,Trump,Total,Clinton%,Trump%,,Obama,Romney,Total,Obama%,Romney%,,Obama,McCain,Total,Obama%,McCain%
FL-14,"Castor, Kathy",(D),,"217,176","158,027","379,538",57.2%,41.6%,,"188,870","128,797","330,433",57.2%,39.0%,,,,,,,,,,,,
FL-15,"Spano, Ross",(R),,"179,793","213,736","398,200",45.2%,53.7%,,"144,225","177,635","334,518",43.1%,53.1%,,,,,,,,,,,,
FL-16,"Buchanan, Vern",(R),,"223,366","262,840","490,589",45.5%,53.6%,,"170,442","213,271","396,807",43.0%,53.7%,,,,,,,,,,,,
FL-17,"Steube, Greg",(R),,"151,888","267,579","422,675",35.9%,63.3%,,"123,919","220,156","353,861",35.0%,62.2%,,,,,,,,,,,,
FL-18,"Mast, Brian",(R),,"206,388","244,705","454,097",45.5%,53.9%,,"168,558","203,771","382,474",44.1%,53.3%,,,,,,,,,,,,
FL-19,"Rooney, Francis",(R),,"180,723","272,764","456,659",39.6%,59.7%,,"143,001","227,097","381,158",37.5%,59.6%,,,,,,,,,,,,
FL-20,"Hastings, Alcee",(D),,"254,644","72,814","329,313",77.3%,22.1%,,"231,596","52,251","288,811",80.2%,18.1%,,,,,,,,,,,,
FL-21,"Frankel, Lois",(D),,"239,322","169,556","411,406",58.2%,41.2%,,"206,239","137,490","351,661",58.6%,39.1%,,,,,,,,,,,,
FL-22,"Deutch, Ted",(D),,"236,393","174,889","413,647",57.1%,42.3%,,"202,355","146,228","356,482",56.8%,41.0%,,,,,,,,,,,,
FL-23,"Wasserman Schultz, Debbie",(D),,"227,941","161,030","391,205",58.3%,41.2%,,"209,079","120,967","337,782",61.9%,35.8%,,,,,,,,,,,,
FL-24,"Wilson, Frederica",(D),,"225,289","71,621","298,628",75.4%,24.0%,,"219,783","40,817","265,174",82.9%,15.4%,,,,,,,,,,,,
FL-25,"Diaz-Balart, Mario",(R),,"123,435","197,678","322,843",38.2%,61.2%,,"126,668","131,319","264,353",47.9%,49.7%,,,,,,,,,,,,
