,,,,2012,,,,,,2008,,,,
CD,Incumbent,Party,,Obama,Romney,Total,Obama%,Romney%,,Obama,McCain,Total,Obama%,McCain%
MA-09,"Keating, Bill",(D),,"212,701","165,212","382,989",55.5%,43.1%,,"219,141","154,059","379,234",57.8%,40.6%
MD-01,"Harris, Andy",(R),,"134,072","214,704","355,614",37.7%,60.4%,,"134,591","208,958","350,766",38.4%,59.6%
MD-02,"Ruppersberger, Dutch",(D),,"195,114","108,261","309,437",63.1%,35.0%,,"185,327","114,710","306,022",60.6%,37.5%
MD-03,"Sarbanes, John",(D),,"203,772","124,541","335,690",60.7%,37.1%,,"196,967","124,481","327,633",60.1%,38.0%
MD-04,"Edwards, Donna",(D),,"255,707","68,196","327,230",78.1%,20.8%,,"247,508","69,754","320,353",77.3%,21.8%
MD-05,"Hoyer, Steny",(D),,"234,908","115,052","355,303",66.1%,32.4%,,"221,879","114,618","340,744",65.1%,33.6%
MD-06,"Delaney, John",(D),,"178,613","138,675","323,675",55.2%,42.8%,,"176,020","131,361","312,668",56.3%,42.0%
MD-07,"Cummings, Elijah",(D),,"256,965","75,289","337,313",76.2%,22.3%,,"251,740","74,017","330,338",76.2%,22.4%
MD-08,"Van Hollen, Chris",(D),,"218,691","127,151","352,756",62.0%,36.0%,,"215,436","121,963","343,072",62.8%,35.6%
ME-01,"Pingree, Chellie",(D),,"223,103","142,993","374,522",59.6%,38.2%,,"226,309","139,825","372,846",60.7%,37.5%
ME-02,"Poliquin, Bruce",(R),,"178,203","149,283","336,531",53.0%,44.4%,,"195,614","155,448","358,317",54.6%,43.4%
MI-01,"Benishek, Dan",(R),,"160,199","189,406","353,694",45.3%,53.6%,,"183,104","178,360","368,276",49.7%,48.4%
MI-02,"Huizenga, Bill",(R),,"142,080","184,755","329,985",43.1%,56.0%,,"168,237","176,331","350,282",48.0%,50.3%
MI-03,"Amash, Justin",(R),,"153,069","177,742","334,438",45.8%,53.1%,,"174,381","170,654","351,117",49.7%,48.6%
MI-04,"Moolenaar, John",(R),,"146,088","171,864","321,415",45.5%,53.5%,,"170,685","167,074","343,947",49.6%,48.6%
MI-05,"Kildee, Dan",(D),,"205,800","129,903","338,966",60.7%,38.3%,,"230,768","129,429","366,156",63.0%,35.3%
MI-06,"Upton, Fred",(R),,"158,950","163,309","325,500",48.8%,50.2%,,"184,125","156,672","346,680",53.1%,45.2%
MI-07,"Walberg, Tim",(R),,"159,012","169,268","331,820",47.9%,51.0%,,"177,650","165,756","349,608",50.8%,47.4%
MI-08,"Bishop, Mike",(R),,"172,131","183,512","358,795",48.0%,51.1%,,"195,947","174,675","376,482",52.0%,46.4%
MI-09,"Levin, Sander",(D),,"199,625","146,185","349,021",57.2%,41.9%,,"214,229","147,770","368,821",58.1%,40.1%
MI-10,"Miller, Candice",(R),,"148,429","187,653","339,318",43.7%,55.3%,,"170,032","177,205","354,087",48.0%,50.0%
MI-11,"Trott, Dave",(R),,"178,768","199,308","380,884",46.9%,52.3%,,"193,613","186,390","386,552",50.1%,48.2%
MI-12,"Dingell, Debbie",(D),,"217,492","107,675","328,498",66.2%,32.8%,,"234,529","110,055","350,474",66.9%,31.4%
MI-13,"Conyers, John",(D),,"249,656","41,881","293,164",85.2%,14.3%,,"281,005","46,980","331,253",84.8%,14.2%
MI-14,"Lawrence, Brenda",(D),,"273,270","62,794","337,491",81.0%,18.6%,,"294,273","61,286","357,861",82.2%,17.1%
MN-01,"Walz, Tim",(D),,"170,377","165,720","343,764",49.6%,48.2%,,"176,959","162,554","348,046",50.8%,46.7%
MN-02,"Kline, John",(R),,"184,802","184,576","376,586",49.1%,49.0%,,"185,192","174,635","367,039",50.5%,47.6%
MN-03,"Paulsen, Erik",(R),,"199,093","195,802","401,332",49.6%,48.8%,,"199,740","185,406","391,314",51.0%,47.4%
