,district,incumbent,party,dem_16,rep_16,tot_16,dem_pct_16,rep_pct_16,dem_12,rep_12,tot_12,dem_pct_12,rep_pct_12,2p_tot_12,dem_2p_12,rep_2p_12,2p_tot_16,dem_2p_16,rep_2p_16,lean_16,lean_12
97,FL-10,"Demings, Val",(D),194934,110062,315611,61.8,34.9,165230,103617,268847,,,268847,61.4587479123814,38.54125208761861,304996,63.91362509672258,36.08637490327742,12.800336166009707,9.494885660371637
98,FL-11,"Webster, Dan",(R),133448,266256,410998,32.5,64.8,146428,217453,363881,,,363881,40.240628117434,59.759371882566,399704,33.386706162560294,66.6132938374397,-17.726582768152582,-11.723234134575762
99,FL-12,"Bilirakis, Gus",(R),147759,218487,380357,38.8,57.4,156978,182945,339923,,,339923,46.180458515605004,53.819541484394996,366246,40.344194885404896,59.655805114595104,-10.76909404530798,-5.7834037364047575
100,FL-13,"Crist, Charlie",(D),178892,167348,360760,49.6,46.4,182971,147065,330036,,,330036,55.43970960743676,44.56029039256323,346240,51.667051756007396,48.332948243992604,0.5537628252945197,3.4758473554269997
101,FL-14,"Castor, Kathy",(D),188870,128797,330433,57.2,39.0,178047,127006,305053,,,305053,58.36592329857435,41.634076701425656,317667,59.45534159985142,40.54465840014858,8.342052669138546,6.40206104656459
102,FL-15,"Spano, Ross",(R),144225,177635,334518,43.1,53.1,143468,163966,307434,,,307434,46.66627633898658,53.33372366101342,321860,44.80985521655378,55.190144783446215,-6.303433714159098,-5.297585913023184
103,FL-16,"Buchanan, Vern",(R),170442,213271,396807,43.0,53.7,155827,185382,341209,,,341209,45.66907672423646,54.33092327576353,383713,44.41913617729918,55.58086382270082,-6.694152753413697,-6.2947855277733
104,FL-17,"Steube, Greg",(R),123919,220156,353861,35.0,62.2,127960,178932,306892,,,306892,41.69544986509912,58.30455013490088,344075,36.01511298408777,63.98488701591223,-15.098175946625105,-10.26841238691064
105,FL-18,"Mast, Brian",(R),168558,203771,382474,44.1,53.3,163274,175617,338891,,,338891,48.17891298382075,51.82108701617925,372329,45.27125203784825,54.72874796215176,-5.842036892864627,-3.78494926818901
106,FL-19,"Rooney, Francis",(R),143001,227097,381158,37.5,59.6,124513,197050,321563,,,321563,38.721183718276045,61.278816281723955,370098,38.638684888867274,61.36131511113273,-12.474604041845602,-13.242678533733717
107,FL-20,"Hastings, Alcee",(D),231596,52251,288811,80.2,18.1,219688,45988,265676,,,265676,82.69019407097366,17.309805929026332,283847,81.59184349314947,18.40815650685052,30.478554562436592,30.7263318189639
108,FL-21,"Frankel, Lois",(D),206239,137490,351661,58.6,39.1,191934,123286,315220,,,315220,60.88890298838906,39.11109701161094,343729,60.000465482982236,39.999534517017764,8.88717655226936,8.925040736379302
109,FL-22,"Deutch, Ted",(D),202355,146228,356482,56.8,41.0,182553,139743,322296,,,322296,56.64141038051977,43.358589619480234,348583,58.05073684029342,41.94926315970658,6.937447909580541,4.677548128510011
110,FL-23,"Wasserman Schultz, Debbie",(D),209079,120967,337782,61.9,35.8,186021,114317,300338,,,300338,61.93721740172739,38.06278259827261,330046,63.34844233834072,36.65155766165928,12.235153407627841,9.973355149717626
111,FL-24,"Wilson, Frederica",(D),219783,40817,265174,82.9,15.4,215022,34507,249529,,,249529,86.17114643989275,13.828853560107243,260600,84.33729854182656,15.662701458173444,33.22400961111368,34.20728418788299
112,FL-25,"Diaz-Balart, Mario",(R),126668,131319,264353,47.9,49.7,98116,117181,215297,,,215297,45.57239534224815,54.42760465775185,257987,49.098597991371655,50.90140200862834,-2.0146909393412216,-6.391466909761611
