,district,incumbent,party,dem_16,rep_16,tot_16,dem_pct_16,rep_pct_16,dem_12,rep_12,tot_12,dem_pct_12,rep_pct_12,dem_08,rep_08,tot_08,dem_pct_08,rep_pct_08,2p_tot_16,dem_2p_16,rep_2p_16,2p_tot_12,dem_2p_12,rep_2p_12,2p_tot_08,dem_2p_08,rep_2p_08,lean_08,lean_12
31,CA-10,"Denham, Jeff",(R),116335,109145,"239,680",48.5%,45.5%,108923,101160,215113,50.6,47.0,111168,105006,216167,,,225480,51.594376441369526,48.40562355863048,210083,51.84760309020721,48.15239690979279,216174,51.42524077826196,48.57475922173805,-2.2636067338816233,-0.11625916180255302
32,CA-11,"DeSaulnier, Mark",(D),223559,70869,"312,568",71.5%,22.7%,203699,90226,301134,67.6,30.0,216315,89194,305517,,,294428,75.92993872865353,24.070061271346475,293925,69.30305350004254,30.696946499957473,305509,70.80478807498307,29.195211925016938,17.115940562839484,17.339191248032776
33,CA-12,"Pelosi, Nancy",(D),309221,31158,"358,774",86.2%,8.7%,269461,40003,320387,84.1,12.5,288042,43931,331972,,,340379,90.84608627441764,9.153913725582367,309464,87.07345604012097,12.926543959879016,331973,86.76669488181268,13.233305118187321,33.0778473696691,35.10959378811121
34,CA-13,"Lee, Barbara",(D),291926,22743,"334,194",87.4%,6.8%,268093,27474,306314,87.5,9.0,281159,32201,313363,,,314669,92.77240528936755,7.2275947106324425,295567,90.70464564717983,9.295354352820173,313360,89.7239596630074,10.276040336992596,36.035112150863824,38.74078339517007
35,CA-14,"Speier, Jackie",(D),229008,54229,"297,743",76.9%,18.2%,200343,63589,269882,74.2,23.6,199481,66655,266142,,,283237,80.85384324788075,19.14615675211925,263932,75.90705181637695,24.092948183623054,266136,74.95453452370216,25.045465476297835,21.265687011558583,23.943189564367188
36,CA-15,"Swalwell, Eric",(D),198964,68808,"284,536",69.9%,24.2%,177243,77748,260611,68.0,29.8,182271,82329,264599,,,267772,74.30351194299628,25.69648805700372,254991,69.50951210042707,30.490487899572926,264600,68.88548752834467,31.11451247165533,15.196640016201087,17.545649848417312
37,CA-16,"Costa, Jim",(D),98504,61813,"169,964",58.0%,36.4%,88973,59808,151953,58.6,39.4,87994,60031,148029,,,160317,61.443265530168354,38.556734469831646,148781,59.80131871677163,40.198681283228375,148025,59.44536395879074,40.55463604120926,5.7565164466471614,7.837456464761871
38,CA-17,"Khanna, Ro",(D),183801,50926,"248,695",73.9%,20.5%,163862,58193,227806,71.9,25.5,166561,67187,233751,,,234727,78.3041575958454,21.695842404154615,222055,73.7934295557407,26.206570444259302,233748,71.2566524633366,28.743347536663418,17.56780495119301,21.82956730373094
39,CA-18,"Eshoo, Anna",(D),246015,67808,"335,138",73.4%,20.2%,218082,92457,319615,68.2,28.9,231574,90993,322558,,,313823,78.39291575187288,21.60708424812713,310539,70.22692801870296,29.773071981297033,322567,71.79097675831689,28.209023241683123,18.102129246173305,18.263065766693202
40,CA-19,"Lofgren, Zoe",(D),187828,55371,"257,624",72.9%,21.5%,165530,61643,232442,71.2,26.5,159022,68388,227412,,,243199,77.23222546145337,22.76777453854662,227173,72.86517323801685,27.13482676198316,227410,69.92744382393035,30.072556176069654,16.238596311786765,20.90131098600709
41,CA-20,"Panetta, Jimmy",(D),180486,59573,"256,538",70.4%,23.2%,168956,62427,238341,70.9,26.2,175228,63497,238720,,,240059,75.18401726242298,24.815982737577013,231383,73.02005765332802,26.97994234667197,238725,73.40161273431774,26.598387265682273,19.712765222174156,21.056195401318263
42,CA-21,"Valadao, David",(R),73773,52972,"133,544",55.2%,39.7%,65146,51917,119232,54.6,43.5,66497,57458,123957,,,126745,58.20584638447276,41.79415361552724,117063,55.65037629310713,44.34962370689287,123955,53.64608123915937,46.35391876084063,-0.04276627298420976,3.686514041097368
43,CA-22,"Nunes, Devin",(R),102292,125089,"240,137",42.6%,52.1%,92005,125213,221278,41.6,56.6,95906,122884,218799,,,227381,44.98704817025169,55.01295182974831,217218,42.3560662560193,57.6439337439807,218790,43.834727364139134,56.16527263586087,-9.854120148004448,-9.607795995990465
