,district,incumbent,party,dem_20,rep_20,tot_20,dem_pct_20,rep_pct_20,dem_16,rep_16,tot_16,dem_pct_16,rep_pct_16,dem_12,rep_12,tot_12,dem_pct_12,rep_pct_12,2p_tot_20,dem_2p_20,rep_2p_20,2p_tot_16,dem_2p_16,rep_2p_16,2p_tot_12,dem_2p_12,rep_2p_12,lean_16,lean_20,lean_12
64,CA-43,Maxine Waters,(D),224694,61138,292083,76.9,20.9,183434,39039,234060,78.4,16.7,173342,44485,222219,78.0,20.0,285832,78.61051246886282,21.38948753113717,222473,82.45225263290376,17.547747367096232,217827,79.57783011288775,20.422169887112247,31.33896370219089,26.34067754465635,27.61396786087799
65,CA-44,Nanette Barragán,(D),188767,46174,240722,78.4,19.2,164251,24261,197802,83.0,12.3,155459,24995,183586,84.7,13.6,234941,80.34655509255515,19.653444907444847,188512,87.13026226447123,12.869737735528771,180454,86.14882463120796,13.851175368792045,36.01697333375835,28.07672016834868,34.1849623791982
66,CA-45,Katie Porter,(D),228624,181306,418564,54.6,43.3,162449,144713,325967,49.8,44.4,133114,169489,309399,43.0,54.8,409930,55.77147317834752,44.22852682165247,307162,52.88707587527103,47.11292412472897,302603,43.989649805190304,56.010350194809696,1.7737869445581538,3.5016382541410493,-7.9742124468194575
67,CA-46,Lou Correa,(D),150186,78247,233507,64.3,33.5,119762,50403,180750,66.3,27.9,95479,56252,155493,61.4,36.2,228433,65.74619253785573,34.25380746214426,170165,70.37992536655598,29.62007463344401,151731,62.9264949153436,37.0735050846564,19.266636435843104,13.476357613649263,10.962632663333842
68,CA-47,Alan Lowenthal,(D),203636,115161,326086,62.4,35.3,161743,80162,258320,62.6,31.0,147456,92010,245624,60.0,37.5,318797,63.87638528593431,36.12361471406569,241905,66.86219797027759,33.137802029722415,239466,61.57700884467941,38.42299115532059,15.748909039564715,11.606550361727841,9.61314659266965
69,CA-48,Michelle Steel,(R),199791,193832,401759,49.7,48.2,152035,146595,317328,47.9,46.2,133103,169249,309496,43.0,54.7,393623,50.75694255671035,49.24305744328964,298630,50.91082610588353,49.08917389411647,302352,44.02253003122188,55.97746996877812,-0.20246282482934674,-1.5128923674961214,-7.941332220787878
70,CA-49,Mike Levin,(D),217061,167049,393013,55.2,42.5,159081,135576,314011,50.7,43.2,134447,153856,294468,45.7,52.2,384110,56.51011429017729,43.48988570982271,294657,53.988535823007766,46.011464176992234,288303,46.63392333759968,53.36607666240032,2.8752468922948893,4.240279365970821,-5.329938914410079
71,CA-50,Darrell Issa,(R),166841,195430,370789,45.0,52.7,115864,159822,292878,39.6,54.6,102649,165104,273289,37.6,60.4,362271,46.05419699617138,53.94580300382863,275686,42.02752406723591,57.97247593276409,267753,38.337198836240866,61.66280116375914,-9.085764863476967,-6.215637928035093,-13.626663415768896
72,CA-51,Juan Vargas,(D),166351,76843,248810,66.9,30.9,147603,46825,205437,71.8,22.8,115610,48108,166684,69.4,28.9,243194,68.4025921692147,31.5974078307853,194428,75.9165346555023,24.083465344497707,163718,70.61532635385235,29.384673646147647,24.803245724789427,16.13275724500823,18.651464101842592
73,CA-52,Scott Peters,(D),257923,139172,406904,63.4,34.2,191325,117057,329258,58.1,35.6,163911,143726,314748,52.1,45.7,397095,64.95246729372064,35.047532706279355,308382,62.041558845847035,37.958441154152965,307637,53.28065219723245,46.719347802767544,10.928269915134159,12.682632369514174,1.3167899452226877
74,CA-53,Sara Jacobs,(D),258866,119398,386642,67.0,30.9,200237,91822,310373,64.5,29.6,174616,103513,284333,61.4,36.4,378264,68.43527271958209,31.56472728041791,292059,68.56046209841162,31.439537901588377,278129,62.78237796130573,37.21762203869427,17.447173167698743,16.165437795375617,10.818515709295966
75,CO-01,Diana DeGette,(D),357849,104539,473503,75.6,22.1,277790,93486,402453,69.0,23.2,254400,106334,368798,69.0,28.8,462388,77.39149804925734,22.608501950742664,371276,74.8203492819358,25.179650718064188,360734,70.52287835357909,29.477121646420905,23.70706035122293,25.121663125050866,18.559016101569327
76,CO-02,Joe Neguse,(D),338261,178561,530867,63.7,33.6,264966,164769,471464,56.2,34.9,255209,174095,440652,57.9,39.5,516822,65.45019368370542,34.549806316294585,429735,61.65799853398024,38.34200146601975,429304,59.44715166874756,40.55284833125244,10.544709603267364,13.18035875949895,7.483289416737797
77,CO-03,Lauren Boebert,(R),200886,224996,436221,46.1,51.6,151057,195966,377176,40.0,52.0,163886,185459,358045,45.8,51.8,425882,47.169403731550055,52.830596268449945,347023,43.529391423623224,56.470608576376776,349345,46.912364567977214,53.087635432022786,-7.583897507089652,-5.100431192656416,-5.051497684032547
78,CO-04,Ken Buck,(R),198971,276309,487928,40.8,56.6,137784,230945,402201,34.3,57.4,140404,209415,357971,39.2,58.5,475280,41.86395387981821,58.13604612018178,368729,37.36728057733457,62.63271942266543,349819,40.13618471266569,59.86381528733431,-13.746008353378308,-10.40588104438826,-11.827677539344073
79,CO-05,Doug Lamborn,(R),184301,241369,441370,41.8,54.7,123537,212558,371829,33.2,57.2,129903,200491,339143,38.3,59.1,425670,43.296685225644275,56.70331477435572,336095,36.75657180261533,63.24342819738467,330394,39.317602619902296,60.6823973800977,-14.356717128097543,-8.973149698562196,-12.646259632107466
80,CO-06,Jason Crow,(D),260642,175729,447756,58.2,39.2,191099,157115,380526,50.2,41.3,183024,165070,354989,51.6,46.5,436371,59.72945039885785,40.27054960114215,348214,54.87975785005772,45.12024214994227,348094,52.578901101426624,47.42109889857337,3.7664689193448453,7.459615474651379,0.6150388494168624
81,CO-07,Ed Perlmutter,(D),263442,163104,439307,60.0,37.1,192637,147645,374571,51.4,39.4,196276,144379,349920,56.1,41.3,426546,61.761685726744595,38.238314273255405,340282,56.61098735754463,43.38901264245538,340655,57.61723738092792,42.38276261907208,5.497698426831754,9.491850802538124,5.653375128918157
82,CT-01,John Larson,(D),229220,127803,362392,63.3,35.3,195305,119395,328774,59.4,36.3,200960,112982,317496,63.3,35.6,357023,64.2031465759909,35.79685342400909,314700,62.06069272322847,37.93930727677153,313942,64.01182384007237,35.98817615992763,10.947403792515594,11.933311651784429,12.047961588062606
83,CT-02,Joe Courtney,(D),205779,164461,377818,54.5,43.5,165799,155975,340758,48.7,45.8,177544,135235,317687,55.9,42.6,370240,55.5798941227312,44.4201058772688,321774,51.526537259070025,48.47346274092997,312779,56.76340163502025,43.23659836497974,0.41324832835714886,3.3100591985247263,4.79953938301049
84,CT-03,Rosa DeLauro,(D),212317,137580,354399,59.9,38.8,179832,129968,321837,55.9,40.4,191296,110912,305600,62.6,36.3,349897,60.67985721512331,39.320142784876694,309800,58.04777275661718,41.95222724338283,302208,63.29944938585346,36.70055061414655,6.934483825904302,8.410022290916842,11.335587133843696
85,CT-04,Jim Himes,(D),237245,127566,369791,64.2,34.5,195494,119976,328198,59.6,36.6,170884,136600,310284,55.1,44.0,364811,65.03230439871605,34.96769560128396,315470,61.969125431895264,38.030874568104736,307484,55.57492422369944,44.42507577630055,10.855836501182388,12.76246947450958,3.6110619716896792
