"GEO_ID","NAME","P002001","P002002","P002003","P002004","P002005","P002006",
"Geography","Label for GEO_ID","Total","Total!!Urban","Total!!Urban!!Inside urbanized areas","Total!!Urban!!Inside urban clusters","Total!!Rural","Total!!Not defined for this file",
"5001600US2505","Congressional District 5 (116th Congress), Massachusetts","727515","719782","719782","0","7733","0",
"5001600US2506","Congressional District 6 (116th Congress), Massachusetts","727515","696485","696485","0","31030","0",
"5001600US2507","Congressional District 7 (116th Congress), Massachusetts","727514","726979","726979","0","535","0",
"5001600US2508","Congressional District 8 (116th Congress), Massachusetts","727514","721899","721899","0","5615","0",
"5001600US2509","Congressional District 9 (116th Congress), Massachusetts","727514","641206","619722","21484","86308","0",
"5001600US2601","Congressional District 1 (116th Congress), Michigan","705974","258236","0","258236","447738","0",
"5001600US2602","Congressional District 2 (116th Congress), Michigan","705975","524235","488619","35616","181740","0",
"5001600US2603","Congressional District 3 (116th Congress), Michigan","705974","483857","412635","71222","222117","0",
"5001600US2604","Congressional District 4 (116th Congress), Michigan","705974","258915","104883","154032","447059","0",
"5001600US2605","Congressional District 5 (116th Congress), Michigan","705975","547065","529888","17177","158910","0",
"5001600US2606","Congressional District 6 (116th Congress), Michigan","705974","414175","316810","97365","291799","0",
"5001600US2607","Congressional District 7 (116th Congress), Michigan","705974","379469","262151","117318","326505","0",
"5001600US2608","Congressional District 8 (116th Congress), Michigan","705975","559334","537974","21360","146641","0",
"5001600US2609","Congressional District 9 (116th Congress), Michigan","705975","705975","705975","0","0","0",
"5001600US2610","Congressional District 10 (116th Congress), Michigan","705974","449903","412435","37468","256071","0",
"5001600US2611","Congressional District 11 (116th Congress), Michigan","705974","690517","690517","0","15457","0",
"5001600US2612","Congressional District 12 (116th Congress), Michigan","705974","686369","686369","0","19605","0",
"5001600US2613","Congressional District 13 (116th Congress), Michigan","705974","705944","705944","0","30","0",
"5001600US2614","Congressional District 14 (116th Congress), Michigan","705974","705963","705963","0","11","0",
"5001600US26ZZ","Congressional Districts not defined (116th Congress), Michigan","0","0","0","0","0","0",
"5001600US2701","Congressional District 1 (116th Congress), Minnesota","662991","414574","170619","243955","248417","0",
"5001600US2702","Congressional District 2 (116th Congress), Minnesota","662991","576633","481002","95631","86358","0",
"5001600US2703","Congressional District 3 (116th Congress), Minnesota","662990","633614","633452","162","29376","0",
"5001600US2704","Congressional District 4 (116th Congress), Minnesota","662990","644502","641308","3194","18488","0",
"5001600US2705","Congressional District 5 (116th Congress), Minnesota","662991","662991","662991","0","0","0",
