District,Biden,Trump,Clinton,Trump,Bachelor's,Rank,White Bachelor's,Rank,Median Income,Rank,White Income,Rank
IN-08,32.7,65.5,30.2,64.3,22.3,390,22.5,419,"$61,601",349,"$63,183",391
IN-09,35.4,62.7,33.1,61.4,26.0,325,25.5,388,"$67,283",281,"$68,987",335
KS-01,34.1,63.7,29.6,63.5,29.4,266,31.9,296,"$60,646",360,"$60,678",409
KS-02,40.7,57.0,36.9,55.6,26.9,309,29.7,325,"$60,983",358,"$63,968",380
KS-03,51.2,46.7,42.9,48.2,51.3,32,53.6,61,"$91,626",88,"$95,184",118
KS-04,38.0,59.7,32.3,59.2,30.4,249,33.2,274,"$65,593",301,"$69,230",328
KY-01,27.9,70.6,25.9,70.2,20.3,414,20.7,424,"$54,615",404,"$57,427",422
KY-02,30.8,67.5,27.7,67.6,23.0,379,23.0,415,"$61,768",346,"$62,299",396
KY-03,60.2,37.9,55.1,39.7,35.1,169,39.4,187,"$63,327",327,"$70,952",309
KY-04,32.8,65.4,28.9,65.6,30.8,243,31.0,307,"$75,907",191,"$76,117",255
KY-05,19.7,79.1,18.5,78.5,15.1,432,15.1,435,"$42,736",433,"$43,252",435
KY-06,43.5,54.5,38.2,55.8,34.9,172,35.8,234,"$62,298",335,"$63,948",381
LA-01,29.6,68.5,26.1,69.3,33.1,199,35.5,240,"$69,732",251,"$76,271",252
LA-02,75.4,22.9,74.6,22.2,26.7,315,40.7,169,"$48,015",428,"$74,124",274
LA-03,30.3,68.0,29.3,67.2,23.5,369,26.2,376,"$53,406",414,"$61,913",401
LA-04,37.2,61.3,37.0,60.3,20.2,415,23.8,409,"$48,618",426,"$60,104",414
LA-05,34.4,64.1,34.4,63.2,20.0,418,23.1,414,"$46,162",431,"$56,435",426
LA-06,33.9,64.3,30.2,65.5,33.1,198,35.2,242,"$70,632",241,"$79,853",222
MA-01,59.8,38.2,54.9,37.4,31.5,226,34.9,253,"$68,956",259,"$78,320",233
MA-02,64.3,33.5,57.5,33.9,45.2,72,46.5,116,"$88,327",105,"$93,977",124
MA-03,62.7,35.3,56.7,35.4,38.5,134,43.4,143,"$91,476",91,"$97,490",100
MA-04,63.3,34.8,57.6,35.0,48.8,46,48.8,93,"$110,374",32,"$113,705",49
MA-05,74.8,23.6,68.6,24.9,60.5,12,63.2,25,"$115,167",29,"$119,306",36
MA-06,62.9,35.3,55.4,37.3,48.9,45,51.4,74,"$106,226",41,"$114,354",47
MA-07,85.5,13.1,83.2,11.6,48.3,51,67.6,19,"$81,795",150,"$109,062",57
MA-08,66.9,31.4,60.5,32.9,50.5,36,54.5,52,"$103,758",48,"$109,294",56
MA-09,58.2,40.0,51.4,41.5,41.0,104,43.0,148,"$94,066",78,"$96,776",108
MD-01,41.7,56.3,35.6,58.6,33.6,187,35.1,245,"$87,671",112,"$92,722",135
MD-02,59.4,38.6,52.3,41.2,45.2,74,47.8,102,"$92,468",83,"$99,805",89
MD-03,61.7,36.2,53.2,39.5,51.7,30,52.8,66,"$119,418",24,"$129,416",23
MD-04,89.6,8.7,89.2,7.4,32.5,211,57.0,43,"$86,941",117,"$102,115",78
MD-05,67.4,30.9,59.2,35.3,40.7,107,39.8,183,"$121,284",21,"$125,136",28
MD-06,53.9,44.1,47.4,46.2,39.6,118,39.2,191,"$96,041",73,"$93,965",125
MD-07,81.0,17.5,77.7,17.6,31.3,234,45.5,125,"$56,870",389,"$80,177",220
MD-08,80.5,17.9,75.7,18.4,63.1,8,77.8,7,"$123,494",18,"$158,883",5
ME-01,60.0,37.2,53.8,39.4,41.3,99,41.6,161,"$80,938",155,"$82,050",208
ME-02,45.5,51.6,41.6,50.6,26.9,310,26.7,368,"$59,676",370,"$60,337",412
MI-01,39.3,59.1,35.6,58.9,26.5,319,26.9,365,"$60,877",359,"$61,470",406
MI-02,35.0,63.2,32.9,60.9,21.2,402,21.6,420,"$61,030",356,"$61,468",407
MI-03,53.3,44.8,46.7,46.6,36.7,151,40.9,168,"$72,574",224,"$78,845",229
MI-04,47.1,51.1,42.2,51.6,31.7,219,34.0,264,"$70,086",246,"$74,228",272
MI-05,37.1,61.2,34.5,59.9,22.9,381,23.1,413,"$64,067",319,"$64,301",378
MI-06,62.7,36.0,58.0,37.2,51.1,33,50.3,80,"$88,275",107,"$90,045",157
MI-07,49.4,48.9,45.1,48.9,36.3,157,36.2,230,"$74,404",200,"$77,895",240
MI-08,50.3,48.2,48.0,46.9,23.9,359,25.5,387,"$57,526",383,"$63,197",390
MI-09,34.6,64.0,30.9,64.0,28.1,286,28.1,349,"$78,456",177,"$78,000",239
MI-10,48.8,49.8,45.1,50.4,29.3,268,28.8,337,"$71,936",228,"$74,067",276
MI-11,59.3,39.4,54.5,40.6,49.6,42,50.5,77,"$86,379",120,"$91,701",144
MI-12,73.7,25.2,71.8,24.6,26.4,321,31.9,297,"$54,818",400,"$68,346",340
MI-13,74.2,24.6,74.1,22.7,21.4,400,29.0,332,"$47,778",430,"$63,991",379
MN-01,44.3,53.5,38.5,52.4,31.3,233,32.3,289,"$73,826",209,"$76,741",247
MN-02,52.5,45.4,45.0,46.0,42.5,92,44.1,135,"$101,144",52,"$103,782",72
MN-03,59.5,38.5,51.1,40.1,50.4,37,53.3,63,"$100,867",54,"$103,314",74
MN-04,67.8,30.2,61.1,30.0,46.6,63,53.0,65,"$82,138",148,"$90,545",154
MN-05,80.6,17.4,73.3,18.1,49.7,41,58.9,37,"$77,372",184,"$86,465",182
MN-06,40.1,57.7,33.8,57.5,34.5,176,35.0,249,"$95,930",74,"$98,358",95
MN-07,32.5,65.7,29.3,63.2,23.7,365,24.2,404,"$70,672",240,"$71,670",301
MN-08,43.4,54.7,39.5,52.3,26.8,312,27.5,356,"$69,868",249,"$71,177",306
MO-01,78.4,20.0,74.9,20.9,36.2,158,49.3,89,"$57,762",381,"$74,677",268
MO-02,45.3,53.0,39.3,55.8,48.7,47,48.2,101,"$96,915",68,"$97,742",98
MO-03,35.9,62.2,32.0,62.9,34.5,177,34.2,261,"$75,478",193,"$76,550",251
MO-04,29.3,68.7,26.6,68.2,24.1,354,23.9,407,"$62,213",338,"$62,980",392
MO-05,62.2,35.9,57.5,37.1,33.2,195,39.0,193,"$61,184",354,"$70,007",324
MO-06,30.6,67.7,28.3,66.6,25.8,328,26.0,382,"$66,176",294,"$67,225",356
MO-07,28.4,69.8,24.8,70.2,26.5,318,26.8,366,"$56,419",393,"$58,873",419
MO-08,23.6,75.0,22.7,73.5,19.8,421,19.9,430,"$53,903",409,"$55,802",427
MS-01,33.4,65.1,32.0,65.8,23.0,378,25.6,386,"$56,871",388,"$63,517",384
MS-02,62.5,36.4,62.3,36.4,21.1,404,26.6,371,"$40,532",435,"$60,733",408
MS-03,37.2,61.5,35.2,62.8,27.9,288,32.4,287,"$56,209",395,"$70,645",312
MS-04,30.3,68.2,28.1,69.5,23.5,367,26.0,379,"$57,460",386,"$63,306",387
MT-01,45.3,52.2,40.2,52.0,37.2,143,38.1,203,"$65,994",297,"$68,000",345
