District,Clinton,Trump,Obama,Romney,Bachelor's,Rank,White Bachelor's,Rank,Median Income,Rank,White Income,Rank
MD-04,77.2,19.7,78.1,20.8,33.7,148,48.3,74,"$82,585",55,"$108,172",19
MD-05,64.1,32.1,66.1,32.4,35.2,131,36.9,177,"$98,488",21,"$102,903",30
MD-06,55.3,40.2,55.2,42.8,42.1,65,42.0,119,"$79,984",63,"$79,214",113
MD-07,75.8,20.2,76.2,22.3,38.3,99,58.8,30,"$62,550",179,"$100,844",32
MD-08,65.0,30.6,62.0,36.0,55.3,14,61.2,24,"$103,768",15,"$116,162",13
ME-01,54.1,39.3,59.6,38.2,37.8,104,38.1,162,"$63,935",165,"$64,819",223
ME-02,41.1,51.4,53.0,44.4,23.7,320,23.7,380,"$48,215",362,"$48,701",417
MI-01,36.6,57.9,45.3,53.6,25.4,289,26.2,333,"$49,063",353,"$49,663",412
MI-02,38.2,55.8,43.1,56.0,26.0,278,28.0,298,"$55,642",251,"$58,423",300
MI-03,42.2,51.6,45.8,53.1,31.3,179,33.4,219,"$58,815",210,"$63,047",245
MI-04,34.7,59.5,45.5,53.5,21.6,355,21.5,403,"$50,279",339,"$50,570",402
MI-05,49.7,45.5,60.7,38.3,19.6,399,20.9,409,"$45,375",391,"$49,863",411
MI-06,42.9,51.3,48.8,50.2,28.0,241,28.9,288,"$53,400",282,"$56,701",325
MI-07,38.7,55.7,47.9,51.0,24.2,312,24.5,365,"$59,123",204,"$60,239",274
MI-08,43.9,50.6,48.0,51.1,40.5,80,40.2,140,"$70,437",111,"$73,813",150
MI-09,51.5,43.7,57.2,41.9,30.1,204,30.7,259,"$57,774",222,"$60,700",270
MI-10,31.6,63.8,43.7,55.3,23.4,327,23.1,388,"$63,571",171,"$63,851",236
MI-11,45.3,49.7,46.9,52.3,47.4,34,45.0,94,"$83,052",52,"$82,349",95
MI-12,60.8,34.5,66.2,32.8,34.7,138,33.9,214,"$58,454",216,"$61,267",262
MI-13,78.8,18.1,85.2,14.3,15.4,425,18.6,423,"$34,693",433,"$45,938",423
MI-14,79.2,18.3,81.0,18.6,30.9,192,47.5,78,"$45,921",389,"$66,983",206
MN-01,38.4,53.3,49.6,48.2,28.5,236,29.4,284,"$61,735",188,"$63,744",238
MN-02,45.3,46.5,49.1,49.0,38.9,95,40.4,135,"$83,585",50,"$86,573",77
MN-03,50.8,41.4,49.6,48.8,49.3,27,51.5,54,"$88,852",36,"$93,580",53
MN-04,61.5,30.6,62.5,35.5,43.4,59,49.1,69,"$68,928",128,"$77,020",123
MN-05,73.7,18.5,73.5,24.0,45.8,42,54.5,42,"$61,851",186,"$72,401",168
MN-06,33.2,58.9,41.5,56.5,30.2,202,30.5,266,"$79,860",65,"$81,358",99
MN-07,31.0,61.8,44.1,53.9,22.1,349,22.9,392,"$57,094",231,"$59,004",293
MN-08,38.6,54.2,51.7,46.2,23.3,331,23.7,378,"$55,943",248,"$56,878",322
MO-01,77.0,18.8,79.9,18.9,31.9,169,43.8,102,"$45,385",390,"$58,893",295
MO-02,42.3,52.6,41.4,57.1,48.8,29,48.4,72,"$82,172",57,"$82,439",94
MO-03,28.1,67.1,36.1,62.0,26.0,279,25.8,345,"$63,382",175,"$64,338",232
MO-04,29.3,65.3,36.4,61.2,25.1,296,25.0,357,"$50,178",341,"$51,190",397
MO-05,54.1,40.6,58.9,39.4,27.9,242,32.3,238,"$50,328",337,"$57,924",309
MO-06,31.7,63.1,37.9,60.0,27.9,244,28.2,296,"$59,931",199,"$60,537",272
MO-07,24.7,70.4,30.3,67.6,24.1,314,24.5,364,"$46,211",385,"$47,197",421
MO-08,21.0,75.4,32.0,65.9,16.1,421,16.3,432,"$41,701",415,"$42,721",432
MS-01,32.4,65.4,37.0,61.9,20.5,377,23.0,390,"$46,694",375,"$52,887",378
MS-02,63.6,35.1,66.4,33.0,19.1,402,25.4,349,"$35,601",432,"$54,164",360
MS-03,36.8,61.3,39.1,60.0,26.0,277,31.0,256,"$46,349",381,"$59,072",291
MS-04,28.2,69.4,31.2,67.6,21.5,358,23.5,381,"$46,127",386,"$53,182",374
MT-AL,35.9,56.5,41.7,55.4,31.2,182,32.5,235,"$52,559",303,"$54,051",361
NC-01,67.5,30.5,68.1,31.2,27.6,250,37.5,167,"$43,636",399,"$57,932",308
NC-02,43.6,53.2,43.0,56.0,35.3,130,39.7,150,"$68,205",133,"$77,483",121
NC-03,36.9,60.5,40.6,58.5,23.6,323,27.0,317,"$49,868",344,"$55,926",334
NC-04,68.2,28.2,64.5,34.2,53.7,20,62.7,18,"$69,888",119,"$82,021",96
NC-05,39.8,57.4,42.3,56.5,26.3,274,28.0,300,"$46,116",387,"$50,454",404
NC-06,41.4,56.1,43.2,55.9,24.4,309,27.5,308,"$49,242",351,"$55,561",341
NC-07,39.9,57.6,43.2,55.9,25.3,291,30.0,277,"$47,599",368,"$54,996",350
NC-08,41.1,56.1,44.4,54.7,26.3,273,28.2,294,"$52,011",315,"$58,311",301
NC-09,42.8,54.4,43.8,55.4,33.8,146,40.8,134,"$58,791",211,"$73,044",161
NC-10,36.4,61.0,40.4,58.5,24.1,313,26.2,335,"$47,761",367,"$51,198",396
NC-11,34.0,63.2,39.1,59.6,25.3,292,26.4,330,"$46,044",388,"$47,785",419
