District,Code,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Citizen Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Citizen Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander
Montana's 2nd,MT-02,83.7,1.1,4.6,1.1,9.1,0.1,86.4,0.9,3.7,1.0,7.7,0.1,84.0,1.1,4.4,0.9,9.2,0.1,86.8,0.8,3.5,0.8,7.8,0.1,"544,605","456,000","5,915","24,925","5,735","49,790",485,"420,745","363,690","3,660","15,575","4,025","32,490",305,"540,640","454,215","5,785","23,830","4,915","49,770",445,"416,965","361,980","3,535","14,520","3,265","32,475",265
Nebraska's 1st,NE-01,79.8,4.4,10.7,3.7,1.0,0.1,82.9,3.6,8.6,3.6,0.9,0.1,82.7,4.1,8.9,2.8,1.0,0.1,86.3,3.3,6.5,2.6,1.0,0.1,"653,295","521,650","28,735","69,780","24,130","6,430",515,"498,400","413,010","18,020","43,095","17,860","4,665",375,"626,850","518,345","25,925","56,070","17,680","6,410",510,"475,335","410,165","15,650","30,920","12,315","4,650",370
Nebraska's 2nd,NE-02,70.7,11.2,12.3,4.6,0.8,0.0,74.8,9.9,10.0,4.3,0.8,0.0,74.5,11.2,10.0,3.1,0.9,0.0,79.5,9.8,6.9,2.6,0.8,0.0,"652,595","461,700","72,940","80,390","29,770","5,515",190,"483,945","362,210","47,930","48,155","20,615","3,850",155,"615,915","458,885","68,740","61,590","18,950","5,500",165,"452,380","359,810","44,520","31,210","11,855","3,830",130
Nebraska's 3rd,NE-03,82.5,1.9,12.3,1.1,2.0,0.1,85.5,1.5,10.1,1.0,1.8,0.1,85.1,1.7,10.1,0.9,2.1,0.1,88.6,1.3,7.4,0.8,1.8,0.1,"653,045","538,735","12,375","80,595","7,035","13,215",340,"496,160","424,355","7,325","49,965","5,015","8,760",265,"631,790","537,540","10,780","63,655","5,535","13,210",320,"477,680","423,250","6,100","35,250","3,615","8,755",245
Nevada's 1st,NV-01,41.8,9.9,36.7,9.1,0.9,0.6,45.9,9.4,33.0,9.5,1.0,0.6,46.2,11.0,31.5,8.6,1.0,0.6,52.1,10.7,25.7,9.1,1.1,0.6,"756,840","316,140","74,940","278,095","68,960","7,040","4,500","585,935","269,000","54,990","193,615","55,510","5,590","3,230","668,930","309,250","73,260","210,510","57,745","6,905","4,175","503,350","262,310","53,660","129,485","45,580","5,455","2,930"
Nevada's 2nd,NV-02,64.9,2.8,23.6,5.1,2.6,0.5,68.8,2.5,20.3,5.0,2.5,0.4,68.7,2.8,20.5,4.3,2.7,0.4,73.5,2.6,16.2,4.1,2.7,0.4,"777,015","504,665","21,435","183,225","39,815","20,035","3,565","612,670","421,315","15,470","124,375","30,585","15,440","2,645","728,695","500,250","20,260","149,370","31,695","19,970","3,090","567,320","416,995","14,545","92,065","23,470","15,385","2,240"
Nevada's 3rd,NV-03,44.6,11.8,22.3,18.4,0.8,0.7,47.8,10.7,20.2,18.7,0.8,0.8,47.2,12.3,20.5,16.8,0.9,0.8,51.4,11.2,17.7,16.9,0.9,0.8,"783,410","349,085","92,330","175,050","143,855","6,205","5,775","622,435","297,505","66,425","125,475","116,235","5,155","4,735","713,270","336,655","87,750","146,390","119,820","6,125","5,535","556,570","285,855","62,200","98,280","93,815","5,110","4,520"
Nevada's 4th,NV-04,38.0,16.8,35.8,6.1,1.3,0.8,42.3,16.1,32.0,6.7,1.3,0.8,41.3,18.4,31.1,5.7,1.4,0.9,47.3,18.0,25.4,6.2,1.5,0.9,"787,555","299,170","132,655","282,140","48,410","10,235","6,345","594,085","251,515","95,425","190,345","39,570","7,950","4,780","713,415","294,540","131,310","221,990","40,815","10,215","6,115","523,035","247,140","94,180","132,595","32,270","7,930","4,595"
New Hampshire's 1st,NH-01,89.1,2.3,4.3,3.5,0.6,0.0,90.7,1.8,3.5,3.2,0.6,0.0,90.3,2.2,3.9,2.8,0.6,0.0,92.0,1.7,2.9,2.5,0.6,0.0,"689,660","614,380","15,590","29,970","24,020","4,160",215,"561,415","508,925","10,325","19,665","18,010","3,500",175,"673,580","608,365","14,690","25,965","18,895","4,145",215,"547,155","503,600","9,565","16,100","13,430","3,485",175
New Hampshire's 2nd,NH-02,89.7,1.8,4.2,3.4,0.7,0.0,90.7,1.6,3.7,3.1,0.7,0.0,91.1,1.5,3.7,2.7,0.7,0.0,92.3,1.3,3.2,2.3,0.8,0.0,"689,950","618,710","12,250","28,685","23,790","5,110",110,"562,010","509,635","8,825","20,830","17,650","4,200",95,"672,860","613,155","10,375","24,945","17,975","5,030",105,"546,305","504,330","7,210","17,465","12,330","4,125",90
New Jersey's 1st,NJ-01,61.5,17.1,14.8,5.8,0.4,0.0,64.9,16.4,12.6,5.5,0.4,0.0,63.6,17.6,13.2,4.8,0.4,0.0,67.5,16.9,10.6,4.4,0.4,0.0,"770,450","474,200","132,130","114,290","44,520","3,180",100,"602,165","390,860","98,780","75,910","33,230","2,550",85,"738,035","469,710","129,930","97,750","35,420","3,145",95,"572,755","386,680","96,610","60,970","25,185","2,520",80
New Jersey's 2nd,NJ-02,65.6,12.4,16.8,4.3,0.6,0.0,69.4,11.7,14.1,4.1,0.6,0.0,68.1,12.6,14.5,3.8,0.6,0.0,72.5,11.9,11.3,3.5,0.6,0.0,"777,770","510,215","96,390","130,480","33,665","4,480",275,"614,630","426,445","71,790","86,510","25,070","3,575",245,"742,225","505,685","93,635","107,675","28,270","4,450",230,"582,390","422,135","69,275","65,895","20,325","3,565",200
New Jersey's 3rd,NJ-03,65.4,13.8,11.2,9.0,0.3,0.0,67.7,13.5,9.7,8.5,0.4,0.0,67.9,13.6,10.1,7.7,0.4,0.0,70.8,13.4,8.3,6.9,0.4,0.0,"777,190","508,250","106,985","86,835","69,830","2,710",165,"614,750","416,225","82,835","59,380","52,470","2,230",135,"735,895","499,800","100,130","74,165","56,675","2,695",150,"577,075","408,465","77,265","47,620","40,045","2,215",120
New Jersey's 4th,NJ-04,82.7,4.0,9.9,3.1,0.3,0.0,84.0,3.9,8.6,3.1,0.3,0.0,84.4,3.9,8.7,2.6,0.3,0.0,86.2,3.7,7.1,2.6,0.3,0.0,"774,830","640,465","30,625","76,480","23,850","2,035",245,"585,640","492,035","22,555","50,655","18,100","1,605",85,"750,770","633,780","28,950","65,030","19,675","2,035",245,"563,900","486,045","21,010","40,025","14,585","1,605",85
New Jersey's 5th,NJ-05,60.3,6.1,16.1,16.9,0.4,0.0,61.9,6.1,15.0,16.6,0.4,0.0,64.2,6.3,14.8,14.1,0.4,0.0,66.6,6.3,13.4,13.3,0.4,0.0,"771,690","465,310","47,240","124,125","130,540","3,095",160,"607,080","375,735","37,260","90,850","100,590","2,240",135,"707,880","454,235","44,365","105,075","99,950","2,995",145,"550,720","366,585","34,565","73,630","73,470","2,165",130
New Jersey's 6th,NJ-06,45.2,12.4,23.2,18.5,0.3,0.0,48.3,12.3,20.9,17.9,0.3,0.0,49.9,13.4,21.5,14.4,0.4,0.0,54.1,13.4,18.5,13.3,0.4,0.0,"772,410","349,385","95,575","179,050","143,150","2,630",195,"611,175","295,185","74,915","127,970","109,575","1,930",165,"676,920","338,015","90,790","145,310","97,790","2,590",195,"525,830","284,705","70,610","97,455","69,705","1,890",165
New Jersey's 7th,NJ-07,72.7,5.8,11.8,9.2,0.3,0.0,75.3,5.5,10.4,8.4,0.3,0.0,75.4,5.9,10.5,7.8,0.3,0.0,78.6,5.6,8.8,6.6,0.3,0.0,"775,300","563,800","45,225","91,180","71,385","2,370",170,"610,010","459,245","33,715","63,550","50,940","1,810",140,"733,735","552,965","43,345","76,835","56,910","2,340",170,"572,285","449,630","31,960","50,345","37,825","1,785",140
New Jersey's 8th,NJ-08,26.4,8.9,52.5,11.6,0.2,0.0,28.5,8.6,50.4,12.0,0.3,0.0,30.5,10.4,49.9,8.5,0.3,0.1,34.1,10.5,46.6,8.2,0.3,0.1,"760,710","201,160","67,635","399,650","88,230","1,860",340,"602,140","171,345","51,995","303,400","72,320","1,590",300,"571,685","174,530","59,690","285,145","48,745","1,600",290,"431,340","147,025","45,130","201,115","35,430","1,330",250
New Jersey's 9th,NJ-09,38.9,8.8,42.6,9.4,0.2,0.0,41.5,8.5,40.0,9.6,0.2,0.0,43.1,9.7,38.7,8.1,0.2,0.0,47.0,9.7,34.9,8.1,0.2,0.0,"765,160","297,430","67,240","325,930","71,590","1,555",80,"595,060","246,865","50,730","238,295","56,950","1,210",80,"642,580","276,840","62,605","248,390","52,000","1,500",65,"484,465","227,630","46,785","169,040","39,020","1,155",65
New Jersey's 10th,NJ-10,20.8,50.6,20.9,6.9,0.5,0.0,22.1,50.3,19.5,7.4,0.5,0.0,22.1,52.4,19.0,5.7,0.5,0.0,23.7,52.5,16.9,6.0,0.5,0.1,"764,060","159,020","386,865","159,400","52,900","3,470",280,"588,650","129,960","296,025","114,650","43,750","2,800",280,"666,255","146,940","348,990","126,650","38,130","3,315",280,"501,590","118,775","263,530","84,975","30,290","2,655",280
New Jersey's 11th,NJ-11,64.1,6.7,15.8,12.9,0.2,0.0,66.2,6.6,14.6,12.2,0.2,0.0,67.7,6.8,14.3,10.7,0.3,0.0,70.5,6.6,12.7,9.6,0.3,0.0,"769,975","493,675","51,835","121,590","99,085","1,860",130,"603,925","399,670","39,885","87,955","73,625","1,440",95,"712,150","482,135","48,245","102,010","76,065","1,850",100,"552,730","389,660","36,740","70,355","53,275","1,430",80
New Jersey's 12th,NJ-12,42.2,16.9,20.1,20.2,0.4,0.0,46.0,16.7,17.6,19.2,0.3,0.0,47.2,18.3,16.6,17.2,0.4,0.0,52.5,18.2,13.1,15.6,0.4,0.0,"769,515","324,815","129,880","154,415","155,570","2,780",195,"598,285","275,260","99,695","105,125","115,020","2,050",185,"663,860","313,575","121,160","110,290","114,230","2,685",160,"505,880","265,755","92,070","66,380","78,725","1,955",150
New Mexico's 1st,NM-01,45.5,3.2,43.3,3.2,4.6,0.1,49.4,2.9,39.8,3.1,4.5,0.1,46.9,3.1,42.4,2.6,4.7,0.0,51.1,2.9,38.5,2.5,4.7,0.1,"707,680","322,245","22,655","306,285","22,555","32,280",475,"565,390","279,170","16,605","224,880","17,785","25,475",405,"680,130","319,075","20,955","288,510","17,965","32,250",305,"540,085","276,055","15,505","208,075","13,700","25,445",290
New Mexico's 2nd,NM-02,29.1,2.2,61.6,1.3,5.6,0.0,32.6,2.3,58.0,1.3,5.6,0.0,30.7,2.3,59.7,1.0,6.0,0.0,35.0,2.4,55.3,1.0,6.1,0.0,"703,135","204,335","15,600","432,850","9,280","39,595",280,"534,495","174,100","12,230","310,255","7,080","29,935",250,"657,640","202,160","14,895","392,755","6,770","39,590",275,"491,540","172,100","11,620","272,055","4,950","29,930",240
New Mexico's 3rd,NM-03,34.3,1.7,44.5,1.4,18.0,0.1,38.1,1.6,41.6,1.3,17.1,0.1,35.8,1.7,42.5,1.0,18.9,0.1,40.3,1.6,38.9,0.9,18.2,0.1,"701,645","240,495","11,980","312,490","9,630","126,065",430,"539,100","205,645","8,610","224,325","7,180","92,435",430,"666,850","238,745","11,325","283,430","6,390","126,050",420,"506,470","203,945","8,045","196,840","4,380","92,420",415
New York's 1st,NY-01,74.1,5.4,14.2,5.6,0.4,0.0,76.9,5.0,12.1,5.5,0.3,0.0,77.2,5.3,12.1,4.8,0.4,0.0,80.5,4.8,9.7,4.5,0.4,0.0,"778,415","577,175","41,810","110,905","43,595","2,830",50,"620,130","476,575","30,815","75,335","33,940","2,100",50,"738,400","569,835","38,800","89,585","35,480","2,830",50,"583,385","469,440","28,030","56,375","26,300","2,100",50
New York's 2nd,NY-02,58.0,11.0,26.5,3.8,0.5,0.0,61.6,10.7,23.6,3.5,0.5,0.0,62.1,11.1,22.9,3.3,0.5,0.0,66.5,10.7,19.1,3.0,0.5,0.0,"772,460","448,400","85,135","204,805","29,055","3,885",220,"608,765","374,785","65,030","143,710","21,350","2,935",220,"713,335","442,890","79,160","163,030","23,300","3,780",220,"555,390","369,485","59,480","105,985","16,665","2,830",220
New York's 3rd,NY-03,58.6,3.7,13.4,23.7,0.3,0.0,61.1,3.9,12.2,22.4,0.3,0.0,62.3,3.7,12.2,21.2,0.4,0.0,65.7,3.9,10.6,19.3,0.3,0.0,"776,625","454,740","28,845","104,315","183,955","2,620",280,"617,360","376,900","23,775","75,065","138,140","1,935",260,"717,445","446,675","26,675","87,815","151,755","2,595",270,"562,610","369,405","21,705","59,885","108,365","1,910",250
New York's 4th,NY-04,51.4,18.9,21.3,7.9,0.3,0.1,53.0,18.8,19.9,7.7,0.3,0.0,54.8,19.4,18.1,7.1,0.3,0.1,57.4,19.3,15.9,6.8,0.3,0.0,"773,435","397,335","145,970","164,500","60,960","2,150",415,"606,890","321,955","113,975","120,540","47,030","1,690",225,"716,020","392,645","138,560","129,305","51,065","2,125",385,"553,230","317,380","107,045","87,890","37,735","1,665",195
New York's 5th,NY-05,14.8,44.9,20.2,18.1,0.9,0.3,15.0,45.8,19.2,18.2,0.8,0.3,16.3,46.8,18.8,16.0,0.9,0.2,16.8,48.3,17.2,15.8,0.9,0.2,"800,945","118,335","359,635","162,170","144,655","6,860","2,275","629,255","94,075","288,225","120,630","114,455","4,955","1,705","692,135","112,810","324,225","130,305","110,720","6,340","1,715","529,505","89,080","255,530","91,135","83,700","4,590","1,175"
New York's 6th,NY-06,26.4,4.7,25.0,43.0,0.4,0.1,27.3,4.6,23.9,43.3,0.5,0.1,32.1,5.4,23.7,37.7,0.6,0.0,34.6,5.6,21.8,36.9,0.6,0.0,"755,795","199,755","35,335","189,240","324,655","3,310",475,"609,980","166,715","28,190","145,725","264,145","2,790",475,"576,055","184,925","31,345","136,670","217,175","3,200",165,"441,175","152,795","24,740","96,275","162,970","2,680",165
New York's 7th,NY-07,37.1,12.3,36.2,13.6,0.4,0.0,38.0,12.6,34.7,13.9,0.4,0.0,39.4,13.5,34.5,11.6,0.4,0.0,41.0,14.2,32.4,11.5,0.5,0.0,"748,880","277,605","92,010","271,285","101,620","2,820",265,"597,175","227,125","75,080","207,280","82,790","2,340",110,"634,395","250,140","85,915","218,640","73,605","2,715",265,"489,035","200,455","69,215","158,460","56,275","2,240",110
New York's 8th,NY-08,28.0,45.7,16.5,9.2,0.3,0.0,29.3,45.4,15.6,9.3,0.4,0.0,28.5,47.2,15.9,7.8,0.4,0.0,30.0,47.2,14.6,7.6,0.4,0.0,"778,365","218,165","355,840","128,335","71,660","2,515",215,"606,065","177,450","274,880","94,380","56,115","2,160",215,"691,580","197,105","326,700","109,890","53,765","2,455",130,"526,225","157,945","248,330","77,010","39,905","2,145",130
New York's 9th,NY-09,33.8,45.1,11.2,9.3,0.4,0.0,31.4,47.8,11.1,9.1,0.4,0.0,36.0,45.2,10.4,7.8,0.4,0.0,33.7,48.3,10.0,7.4,0.4,0.0,"761,495","257,315","343,280","85,200","71,085","2,765",145,"583,715","183,335","278,885","64,985","53,045","2,300",125,"659,970","237,795","298,000","68,460","51,650","2,530",145,"490,555","165,520","236,710","49,165","36,215","2,065",125
New York's 10th,NY-10,51.0,6.9,19.6,21.6,0.4,0.1,51.6,7.0,18.9,21.8,0.4,0.1,54.8,7.6,18.4,18.3,0.5,0.1,56.2,7.7,17.4,17.9,0.4,0.1,"738,425","376,595","51,050","145,035","159,155","3,005",560,"599,745","309,205","41,695","113,540","130,600","2,105",455,"638,470","349,600","48,245","117,400","116,950","2,890",520,"504,620","283,510","38,965","87,575","90,110","1,990",415
New York's 11th,NY-11,53.8,7.4,18.1,20.1,0.3,0.0,55.9,6.9,16.5,20.1,0.3,0.0,57.1,7.8,17.1,17.3,0.4,0.0,60.4,7.4,15.0,16.8,0.4,0.0,"759,570","408,365","56,425","137,710","152,530","2,435",115,"596,975","333,900","41,465","98,510","120,020","2,035",115,"670,615","382,730","52,505","115,000","116,325","2,365",40,"515,680","311,295","38,025","77,120","86,640","1,970",40
New York's 12th,NY-12,67.3,5.2,12.1,14.8,0.3,0.1,68.0,5.2,11.9,14.3,0.3,0.0,70.4,5.4,11.7,11.7,0.3,0.0,71.6,5.5,11.5,10.8,0.4,0.0,"711,830","479,110","36,660","85,845","105,195","2,200",370,"621,875","422,820","32,160","73,750","88,950","2,050",310,"625,820","440,825","33,910","73,225","73,430","2,170",175,"541,000","387,360","29,570","62,035","58,420","2,020",115
New York's 13th,NY-13,15.3,24.6,53.9,5.5,0.4,0.0,17.0,24.6,51.8,6.0,0.4,0.0,16.7,27.5,50.5,4.5,0.4,0.0,18.9,28.0,47.4,4.8,0.4,0.0,"813,765","124,390","199,990","438,840","44,995","2,950",20,"652,745","110,675","160,400","338,060","39,415","2,360",20,"675,515","112,715","185,475","341,440","30,535","2,855",20,"524,215","99,265","147,035","248,530","25,380","2,270",20
New York's 14th,NY-14,17.8,17.3,52.9,11.3,0.4,0.0,19.6,17.7,50.6,11.5,0.4,0.0,20.0,19.6,49.5,10.3,0.5,0.0,22.7,20.5,45.9,10.2,0.5,0.0,"727,965","129,905","125,955","385,215","82,055","3,055",195,"572,485","112,180","101,135","289,880","65,565","2,370",175,"591,935","118,160","115,760","292,975","60,835","2,830",125,"446,350","101,150","91,645","204,830","45,545","2,145",105
New York's 15th,NY-15,9.3,31.4,55.6,3.0,0.5,0.1,10.1,31.5,54.5,3.2,0.6,0.1,10.1,33.1,53.4,2.7,0.6,0.1,11.4,33.5,51.5,2.8,0.6,0.1,"764,375","71,330","239,825","424,675","23,085","4,135",685,"569,220","57,665","179,095","310,020","18,330","3,295",650,"642,645","65,190","212,530","342,875","17,120","3,730",685,"459,200","52,365","153,855","236,500","12,900","2,885",650
New York's 16th,NY-16,42.1,22.0,28.2,7.2,0.4,0.0,43.9,22.2,26.3,7.0,0.4,0.0,45.3,22.3,25.5,6.3,0.4,0.0,48.0,22.8,22.6,6.0,0.5,0.0,"773,880","325,425","169,970","218,435","55,455","3,035",245,"604,695","265,425","134,535","158,930","42,630","2,390",35,"683,990","309,590","152,840","174,215","42,815","3,010",245,"523,260","251,030","119,325","118,260","31,555","2,365",35
New York's 17th,NY-17,66.5,8.5,18.8,5.7,0.3,0.0,67.7,8.6,17.4,5.8,0.3,0.0,70.0,8.3,16.1,5.2,0.3,0.0,72.0,8.4,13.9,5.2,0.3,0.0,"775,255","515,810","65,585","146,075","44,355","2,235",120,"587,195","397,630","50,790","102,105","34,165","1,780",85,"722,185","505,345","59,685","116,045","37,800","2,215",60,"538,515","387,955","45,350","74,690","28,130","1,760",20
New York's 18th,NY-18,66.2,11.5,17.9,3.6,0.6,0.0,68.8,11.1,15.9,3.5,0.6,0.0,68.5,11.5,16.2,3.0,0.6,0.0,71.6,11.1,13.8,2.7,0.6,0.0,"778,055","515,260","89,495","139,095","28,005","4,290",310,"608,530","418,450","67,600","96,850","21,035","3,395",235,"741,010","507,790","85,020","119,810","22,365","4,240",310,"574,225","411,270","63,795","79,040","15,695","3,345",235
New York's 19th,NY-19,83.8,5.2,6.1,4.1,0.7,0.0,85.3,4.7,5.3,4.0,0.7,0.0,85.6,5.0,5.7,3.0,0.7,0.0,87.3,4.4,4.8,2.7,0.7,0.0,"774,865","649,375","40,525","47,560","31,420","5,235",205,"636,800","543,260","29,720","33,560","25,520","4,215",205,"749,835","641,520","37,620","42,495","22,345","5,200",155,"613,300","535,610","27,090","29,175","16,800","4,175",155
New York's 20th,NY-20,76.5,10.4,6.0,6.1,0.6,0.1,79.2,9.2,5.1,5.6,0.6,0.1,78.6,10.3,5.9,4.3,0.6,0.1,81.6,9.0,4.9,3.7,0.6,0.1,"779,090","596,120","81,125","46,850","47,795","4,515",495,"630,165","499,280","57,975","32,380","35,380","3,760",370,"749,420","588,830","77,340","43,985","32,300","4,400",460,"604,105","492,775","54,635","29,695","22,075","3,645",335
New York's 21st,NY-21,90.0,3.0,4.3,1.4,1.1,0.1,90.8,2.9,3.7,1.3,1.1,0.1,90.7,2.9,4.0,1.1,1.2,0.1,91.7,2.8,3.3,0.9,1.1,0.1,"777,285","699,200","23,295","33,280","10,795","8,920",540,"623,725","566,450","18,335","22,900","7,940","6,900",450,"765,715","694,290","22,005","30,625","8,220","8,870",535,"612,775","561,785","17,075","20,425","5,535","6,850",450
New York's 22nd,NY-22,79.0,10.1,5.5,4.3,0.9,0.0,82.1,8.6,4.5,3.8,0.9,0.0,80.7,9.8,5.2,3.2,0.9,0.0,83.9,8.4,4.1,2.6,0.9,0.0,"772,135","609,725","78,240","42,195","33,505","7,120",190,"610,715","501,535","52,770","27,240","23,040","5,480",135,"746,755","602,410","73,230","38,955","23,870","7,055",110,"589,910","495,040","49,385","24,375","15,090","5,425",105
New York's 23rd,NY-23,90.9,3.2,3.3,1.3,1.1,0.0,92.2,2.7,2.8,1.2,1.0,0.0,91.4,3.2,3.2,1.0,1.1,0.0,92.8,2.7,2.6,0.9,1.0,0.0,"776,785","706,155","25,190","26,005","10,195","8,630",190,"618,190","570,255","16,930","17,225","7,260","6,200",150,"768,755","702,475","24,700","24,450","7,970","8,600",190,"610,755","566,780","16,440","15,835","5,265","6,170",150
New York's 24th,NY-24,89.7,4.1,3.9,1.3,0.8,0.0,91.1,3.6,3.3,1.2,0.7,0.0,90.4,4.0,3.7,1.1,0.8,0.0,91.8,3.4,2.9,0.9,0.8,0.0,"777,980","698,230","31,785","30,625","10,100","5,960",30,"619,755","564,610","22,155","20,370","7,220","4,620",20,"769,080","694,985","30,620","28,095","8,175","5,950",30,"611,335","561,425","21,050","17,975","5,515","4,615",20
New York's 25th,NY-25,70.0,15.5,9.4,4.3,0.6,0.0,73.6,13.8,8.0,4.0,0.6,0.0,71.3,15.6,9.2,3.2,0.6,0.0,75.1,13.9,7.6,2.7,0.6,0.0,"774,085","541,835","119,860","73,105","33,445","4,370",190,"615,920","453,220","84,925","49,030","24,535","3,390",155,"749,500","534,395","116,610","69,080","23,840","4,330",190,"594,500","446,610","82,390","45,420","16,105","3,355",155
New York's 26th,NY-26,68.3,17.8,7.0,5.8,0.9,0.0,72.2,16.1,5.8,5.0,0.9,0.0,70.0,17.9,6.9,4.0,1.0,0.0,74.2,16.2,5.6,3.0,0.9,0.0,"772,610","527,565","137,755","54,405","44,525","7,240",115,"617,860","445,985","99,440","35,645","30,790","5,445",115,"742,500","520,115","133,130","51,480","29,475","7,190",100,"592,375","439,470","95,910","33,180","17,880","5,405",100
North Carolina's 1st,NC-01,48.2,42.2,6.9,1.2,1.4,0.0,50.8,41.3,5.3,1.2,1.3,0.0,49.2,43.2,5.1,1.0,1.4,0.0,52.1,42.4,3.2,0.9,1.4,0.0,"748,755","360,715","316,245","51,345","9,220","10,235",240,"590,205","299,705","243,980","31,450","6,855","7,905",240,"729,665","359,025","314,910","37,555","6,950","10,230",240,"572,545","298,100","242,945","18,415","4,870","7,900",240
North Carolina's 2nd,NC-02,59.4,18.8,10.0,10.9,0.6,0.0,62.1,18.3,8.5,10.2,0.6,0.0,63.4,19.7,7.9,8.1,0.6,0.0,67.1,19.2,5.9,6.9,0.6,0.0,"738,815","438,685","139,225","74,005","80,440","4,330",165,"574,330","356,895","105,025","48,720","58,715","3,230",165,"678,400","430,315","133,410","53,665","54,640","4,320",145,"521,255","349,585","100,105","30,530","36,150","3,220",145
North Carolina's 3rd,NC-03,65.2,19.6,11.5,1.9,1.2,0.1,68.2,19.0,9.4,1.8,1.2,0.1,67.1,20.1,9.3,1.7,1.2,0.1,70.6,19.5,6.7,1.6,1.2,0.1,"746,910","487,120","146,600","86,205","14,105","8,715",905,"581,730","396,625","110,305","54,940","10,195","6,965",795,"723,100","485,485","145,575","67,210","12,485","8,610",735,"559,655","395,105","109,390","37,280","8,760","6,860",625
North Carolina's 4th,NC-04,54.9,27.0,11.9,5.0,1.0,0.1,58.0,26.6,9.3,4.9,1.0,0.1,58.0,28.4,8.4,3.8,1.0,0.1,61.8,28.3,5.0,3.6,1.1,0.1,"743,550","408,005","200,460","88,465","36,840","7,085",470,"592,115","343,230","157,570","55,155","29,305","5,775",300,"693,980","402,270","197,255","58,395","26,625","7,085",470,"546,210","337,640","154,580","27,485","19,835","5,775",300
North Carolina's 5th,NC-05,75.0,12.8,9.5,1.6,0.8,0.1,78.1,12.1,7.2,1.5,0.8,0.1,77.6,13.2,7.0,1.1,0.9,0.1,81.4,12.5,4.1,1.0,0.9,0.1,"747,105","560,390","95,290","71,040","12,310","6,310",630,"597,335","466,790","72,085","43,165","9,135","4,930",505,"718,450","557,550","94,630","50,060","8,190","6,305",575,"570,490","464,105","71,505","23,305","5,480","4,925",455
North Carolina's 6th,NC-06,52.4,32.7,9.0,4.6,1.0,0.0,55.8,31.8,7.1,4.2,0.9,0.0,54.7,33.6,7.0,3.5,1.1,0.0,58.6,32.9,4.5,2.9,1.0,0.0,"745,095","390,715","244,015","67,160","34,235","7,610",245,"582,970","325,345","185,630","41,135","24,645","5,300",190,"707,525","386,820","237,670","49,650","24,440","7,570",225,"549,560","321,895","180,625","24,960","15,895","5,265",175
North Carolina's 7th,NC-07,63.2,19.9,7.3,1.4,8.0,0.0,66.7,18.9,5.5,1.3,7.5,0.0,64.4,20.2,5.9,1.2,8.2,0.0,68.1,19.2,3.8,1.1,7.8,0.0,"754,700","477,295","150,380","55,095","10,560","60,470",230,"600,375","400,725","113,205","32,990","7,770","45,290",190,"736,305","473,910","148,940","43,380","8,820","60,465",225,"583,835","397,385","112,205","22,455","6,140","45,290",185
North Carolina's 8th,NC-08,71.6,15.3,9.5,2.6,0.9,0.0,74.4,14.8,7.5,2.4,0.9,0.0,74.1,15.7,7.0,2.2,0.9,0.0,77.6,15.3,4.2,1.9,0.9,0.0,"748,980","536,630","114,315","71,170","19,590","6,725",80,"574,580","427,740","84,860","43,050","13,560","5,225",75,"719,820","533,030","113,265","50,270","16,020","6,680",75,"547,380","424,595","84,015","23,250","10,205","5,180",75
North Carolina's 9th,NC-09,57.0,24.9,12.6,2.4,2.6,0.2,60.3,24.1,10.4,2.3,2.4,0.2,59.0,25.5,10.2,2.1,2.7,0.2,62.8,24.9,7.4,2.0,2.6,0.2,"747,635","426,370","185,835","94,155","18,210","19,125","1,485","570,660","344,330","137,340","59,460","13,395","13,945","1,045","718,485","423,555","183,290","73,615","15,250","19,115","1,345","543,580","341,595","135,240","40,240","10,660","13,935",905
North Carolina's 10th,NC-10,77.8,11.1,7.4,2.7,0.7,0.0,80.5,10.3,5.9,2.4,0.7,0.0,79.7,11.4,5.7,2.3,0.8,0.0,82.8,10.6,3.8,1.9,0.8,0.0,"749,705","583,330","83,520","55,580","20,050","5,595",200,"590,120","475,100","60,920","34,835","14,080","4,355",200,"728,295","580,265","83,015","41,280","16,645","5,595",160,"570,310","472,205","60,420","21,565","11,075","4,355",160
